account_id,account_holder_name,bank_name,account_type,opened_at,home_district,device_fingerprint
ACC-001179,Michael Viswanathan,ICICI Bank,Savings,2026-05-14 19:03:11,New Delhi,39a930852d4d
ACC-000866,Alka Gole,Axis Bank,Savings,2025-06-25 07:11:59,Pune,a18cc42dd55c
ACC-000102,Priya Nagarajan,Punjab National Bank,Savings,2024-08-04 04:19:40,Jaipur,9e02906faf3d
ACC-000440,Chatresh Dugar,Kotak Mahindra Bank,Savings,2023-09-18 22:38:12,Pune,43cf8e6d58ca
ACC-000059,Zayan Sarkar,Kotak Mahindra Bank,Savings,2025-04-22 06:03:17,Ahmedabad,030ffc91f322
ACC-001121,Ishwar Bhakta,Punjab National Bank,Savings,2024-12-11 08:53:03,Pune,61e0acb79452
ACC-000324,Frado Sandal,ICICI Bank,Current,2026-01-27 23:04:16,Chennai,736656ace883
ACC-000975,Jeremiah Sampath,Kotak Mahindra Bank,Savings,2023-11-13 15:22:16,Pune,b05ac21e5575
ACC-000412,Anirudh Ganesan,Punjab National Bank,Savings,2024-09-01 09:10:42,Ahmedabad,d0081bb60a16
ACC-000856,Dalaja Butala,Kotak Mahindra Bank,Current,2024-10-09 07:02:50,Ahmedabad,6a412afb1271
ACC-000821,Manbir Deo,Bank of Baroda,Savings,2024-03-04 13:00:52,Hyderabad,1d978a06df76
ACC-000045,Veda Dash,Axis Bank,Savings,2025-11-21 23:25:49,Noida,1ec3e5b7726e
ACC-000050,Hamsini Seth,Kotak Mahindra Bank,Savings,2024-12-29 17:15:20,Chennai,fa9b1ddeb900
ACC-000850,Ansh De,State Bank of India,Savings,2024-06-22 22:17:47,New Delhi,91fe06ea5358
ACC-000241,Ansh Lal,Axis Bank,Savings,2024-11-25 21:46:18,Lucknow,9cda2e7eb5ec
ACC-000171,Vamakshi Bora,Bank of Baroda,Savings,2024-05-22 13:28:03,Ahmedabad,324dd1566e5f
ACC-000524,Zarna Tiwari,State Bank of India,Savings,2024-01-24 19:31:59,Lucknow,1444e8701716
ACC-000766,Jatin Nadkarni,Bank of Baroda,Savings,2024-05-18 04:34:50,Lucknow,250302ead225
ACC-000839,Ranveer Loyal,Punjab National Bank,Savings,2024-09-26 10:49:19,Jaipur,bb78945819f0
ACC-000424,Eiravati Ramaswamy,HDFC Bank,Savings,2025-11-07 23:49:17,Noida,007f3bd9702e
ACC-000381,Christopher Dara,Kotak Mahindra Bank,Savings,2025-05-02 00:53:06,Hyderabad,87363914a32c
ACC-000610,Zaitra Subramaniam,Kotak Mahindra Bank,Savings,2024-12-12 10:46:13,New Delhi,4c9c59419930
ACC-000677,Amaira Kamdar,ICICI Bank,Savings,2024-07-04 08:40:57,Mumbai,f187cc9e27cf
ACC-000345,Wriddhish Toor,ICICI Bank,Savings,2024-05-22 13:20:44,Noida,8053d7fce25c
ACC-000110,Warinder Sawhney,Kotak Mahindra Bank,Savings,2026-03-04 08:01:08,Chennai,976ac7410d42
ACC-000278,Ekavir Sule,Axis Bank,Savings,2024-04-27 13:06:47,Bengaluru Urban,c02943ee775b
ACC-000678,Ekani Kaur,Bank of Baroda,Savings,2026-02-10 20:59:50,Lucknow,5a8ccbd3b31c
ACC-000571,Aarav Ramesh,Punjab National Bank,Savings,2025-06-21 12:11:10,Pune,53617a8938e2
ACC-000359,Ishwar Suri,Axis Bank,Savings,2024-09-22 06:18:23,New Delhi,03796487c418
ACC-000599,Wazir Dasgupta,ICICI Bank,Savings,2025-11-19 05:41:25,Chennai,e153901b1387
ACC-000391,Sathvik Pandya,Kotak Mahindra Bank,Savings,2024-05-31 05:06:58,Bengaluru Urban,75430fbe7659
ACC-000894,Triveni Soman,ICICI Bank,Savings,2026-01-27 06:23:09,Hyderabad,71e30dd04771
ACC-000693,Meghana Wason,Bank of Baroda,Savings,2025-12-09 05:54:18,Jaipur,20568e058677
ACC-000728,Ekansh Biswas,Axis Bank,Savings,2024-01-27 18:28:17,Pune,34be7f15e7e8
ACC-000363,Theodore Morar,Kotak Mahindra Bank,Savings,2026-01-28 21:41:13,Mumbai,bd460cfc187d
ACC-000597,Ishwar Date,ICICI Bank,Savings,2024-10-17 03:44:48,Jaipur,bfd0b0fa922f
ACC-000428,Ishanvi Thakkar,Kotak Mahindra Bank,Savings,2024-02-08 00:06:04,Chennai,693e0929c3e5
ACC-000071,Yash Seshadri,Axis Bank,Savings,2023-10-04 11:12:05,Chennai,23ee6c59f806
ACC-000322,Frederick Misra,Kotak Mahindra Bank,Savings,2023-12-30 14:10:51,Hyderabad,7ba7dd2473f4
ACC-000653,Praneel Barad,Punjab National Bank,Savings,2024-10-01 01:59:03,Chennai,083c05d9bfee
ACC-001066,Faraj Sinha,Axis Bank,Current,2026-02-12 10:44:40,Jaipur,8c4bcf0e262f
ACC-000108,Gautam Char,HDFC Bank,Savings,2026-07-16 22:13:48,Hyderabad,b051a2acd3dc
ACC-001109,Jalsa Sura,Bank of Baroda,Savings,2024-10-02 23:48:19,Ahmedabad,0e260a774547
ACC-000356,Zayyan Nagarajan,Kotak Mahindra Bank,Savings,2025-09-12 21:21:47,Chennai,3349c07d7a78
ACC-000951,Ranveer Kari,Axis Bank,Current,2024-09-09 22:09:53,Hyderabad,d62573d50d20
ACC-000343,Tanmayi Rai,HDFC Bank,Savings,2024-05-18 11:55:27,Bengaluru Urban,c8ff50e7e974
ACC-000355,Nidra Modi,ICICI Bank,Savings,2024-12-29 21:23:45,Jaipur,2eaed8993901
ACC-000024,Onkar Nanda,Punjab National Bank,Savings,2026-02-05 12:29:33,Noida,950a363c88b6
ACC-000044,Patrick Contractor,ICICI Bank,Savings,2024-11-17 15:54:04,New Delhi,7c862c1ee270
ACC-000244,Yachana Bains,ICICI Bank,Savings,2023-09-11 01:44:35,Pune,b8b3126874d2
ACC-000738,Manya Bansal,Bank of Baroda,Savings,2026-04-02 06:52:49,Ahmedabad,1a366394606f
ACC-001136,Jonathan Saini,State Bank of India,Savings,2025-09-11 09:30:41,Lucknow,49f5d1a53e77
ACC-000368,Darika Kamdar,Bank of Baroda,Savings,2023-12-29 13:43:17,Mumbai,f6513a8917af
ACC-000164,Jagrati Contractor,ICICI Bank,Savings,2024-05-07 13:07:06,Chennai,23ee6c59f806
ACC-001116,Yochana Handa,Kotak Mahindra Bank,Savings,2024-12-18 10:14:49,Pune,6b0403cf5a3e
ACC-000333,Watika Sarraf,Kotak Mahindra Bank,Savings,2025-06-07 04:43:38,Pune,8892fa456439
ACC-000989,Chandran Yadav,ICICI Bank,Savings,2025-04-18 02:57:45,Hyderabad,a4f1e4577354
ACC-001173,Hritik Sanghvi,HDFC Bank,Savings,2024-02-27 06:49:32,Jaipur,86ea748d3978
ACC-001002,Chatresh Sharma,Punjab National Bank,Savings,2026-04-19 14:09:08,Noida,66e7d805f867
ACC-000378,Anay Padmanabhan,Bank of Baroda,Savings,2025-06-13 16:19:11,Mumbai,2bc93f0f02ea
ACC-000310,Pavani Kade,Kotak Mahindra Bank,Current,2024-03-12 03:23:52,Hyderabad,48255e1891d8
ACC-000156,Bina Gera,Kotak Mahindra Bank,Savings,2023-10-25 23:14:32,Lucknow,c823337a99bb
ACC-000211,Idika Guha,HDFC Bank,Savings,2026-06-29 01:02:28,Chennai,cdc56c4e40ac
ACC-000087,Yash Kamdar,Punjab National Bank,Savings,2024-01-30 07:09:26,Hyderabad,324dd1566e5f
ACC-000169,Ranbir Ramanathan,Axis Bank,Savings,2024-07-16 14:28:25,Ahmedabad,f79d71696c65
ACC-000995,Yadavi Kibe,ICICI Bank,Savings,2026-06-10 12:05:18,Jaipur,0f65d97ab03c
ACC-000052,Keya Babu,State Bank of India,Savings,2025-01-13 03:36:03,Jaipur,030ffc91f322
ACC-000439,Ridhi Choudhry,ICICI Bank,Current,2024-07-16 08:44:28,New Delhi,19b4ea8442f7
ACC-000550,Chakrika Ranganathan,Axis Bank,Savings,2025-08-28 04:41:04,Jaipur,92ba8fc5e859
ACC-000491,Ranveer Menon,Punjab National Bank,Savings,2024-07-06 22:01:21,Mumbai,393c205e57d0
ACC-000426,Manan Krishnan,ICICI Bank,Savings,2024-10-26 15:28:22,New Delhi,217a250a9fbf
ACC-000136,Unnati Walia,Bank of Baroda,Savings,2023-11-01 10:14:20,Bengaluru Urban,19c4aabe4f31
ACC-001192,Wyatt Sant,State Bank of India,Savings,2024-06-26 05:56:40,Pune,99cf4834ee8e
ACC-000055,Charita Vohra,Bank of Baroda,Savings,2023-09-21 06:21:51,Lucknow,976ac7410d42
ACC-000079,Sudiksha Karpe,State Bank of India,Savings,2026-01-15 03:02:42,New Delhi,fb6698a49157
ACC-000431,Orinder Chandra,Bank of Baroda,Savings,2025-09-06 14:21:28,Jaipur,c9b871e27981
ACC-000185,Ladli Prabhakar,HDFC Bank,Savings,2024-06-12 07:13:38,Ahmedabad,5150fa519223
ACC-000057,Adya Swamy,Kotak Mahindra Bank,Savings,2025-03-13 23:15:48,Mumbai,1346a7478a1d
ACC-000943,Mahika Jain,Bank of Baroda,Savings,2025-07-01 03:33:12,Mumbai,3e2a15076b4c
ACC-000851,Abhimanyu Bassi,Punjab National Bank,Savings,2026-03-06 10:20:32,Noida,9cb8f4145048
ACC-001164,Urmi Sarma,Bank of Baroda,Savings,2024-02-04 18:25:46,Noida,63f3f31fcc9d
ACC-000219,Balhaar Gaba,Punjab National Bank,Savings,2024-07-23 17:28:34,Hyderabad,5020f1553add
ACC-000845,Chasmum Bali,Kotak Mahindra Bank,Current,2026-07-08 01:51:19,Jaipur,f1a22bae4825
ACC-000114,Tristan Arya,Bank of Baroda,Savings,2026-03-13 08:39:20,Pune,cdc56c4e40ac
ACC-000549,Anthony De,Kotak Mahindra Bank,Savings,2025-03-07 08:37:52,Pune,71348af12d49
ACC-001019,Eesha Mani,ICICI Bank,Savings,2024-11-18 17:39:46,Bengaluru Urban,933bded4752c
